model_name,train_missing_prop,test_missing_prop,seed,outer_fold,prediction_source,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.4,0.0,22,2,ensemble,0,22|outer_2|ensemble,56,0.5810983397190294
Di-MMLP,0.4,0.0,22,3,ensemble,0,22|outer_3|ensemble,56,0.6130268199233717
Di-MMLP,0.4,0.0,22,4,ensemble,0,22|outer_4|ensemble,56,0.698595146871009
Di-MMLP,0.4,0.0,22,5,ensemble,0,22|outer_5|ensemble,56,0.6794871794871795
Di-MMLP,0.4,0.0,2002,1,ensemble,0,2002|outer_1|ensemble,57,0.5
Di-MMLP,0.4,0.0,2002,2,ensemble,0,2002|outer_2|ensemble,56,0.7113665389527458
Di-MMLP,0.4,0.0,2002,3,ensemble,0,2002|outer_3|ensemble,56,0.719029374201788
Di-MMLP,0.4,0.0,2002,4,ensemble,0,2002|outer_4|ensemble,56,0.558109833971903
Di-MMLP,0.4,0.0,2002,5,ensemble,0,2002|outer_5|ensemble,56,0.7166666666666667
Di-MMLP,0.4,0.0,18473,1,ensemble,0,18473|outer_1|ensemble,57,0.4851851851851852
Di-MMLP,0.4,0.0,18473,2,ensemble,0,18473|outer_2|ensemble,56,0.6679438058748404
Di-MMLP,0.4,0.0,18473,3,ensemble,0,18473|outer_3|ensemble,56,0.6819923371647509
