model_name,train_missing_prop,test_missing_prop,seed,outer_fold,inner_model_idx,replicate_id,n_patients,auc
Di-MMLP,0.0,0.2,55602,4,1,55602|outer_4|inner_1,56,0.5964240102171138
Di-MMLP,0.0,0.2,55602,4,2,55602|outer_4|inner_2,56,0.5798212005108556
Di-MMLP,0.0,0.2,55602,4,3,55602|outer_4|inner_3,56,0.6104725415070243
Di-MMLP,0.0,0.2,55602,4,4,55602|outer_4|inner_4,56,0.558109833971903
Di-MMLP,0.0,0.2,55602,4,5,55602|outer_4|inner_5,56,0.5798212005108557
Di-MMLP,0.0,0.2,55602,5,1,55602|outer_5|inner_1,56,0.4769230769230769
Di-MMLP,0.0,0.2,55602,5,2,55602|outer_5|inner_2,56,0.5666666666666668
Di-MMLP,0.0,0.2,55602,5,3,55602|outer_5|inner_3,56,0.48205128205128206
Di-MMLP,0.0,0.2,55602,5,4,55602|outer_5|inner_4,56,0.5025641025641026
Di-MMLP,0.0,0.2,55602,5,5,55602|outer_5|inner_5,56,0.517948717948718
Di-MMLP,0.0,0.4,4,1,1,4|outer_1|inner_1,57,0.562962962962963
Di-MMLP,0.0,0.4,4,1,2,4|outer_1|inner_2,57,0.5888888888888889
Di-MMLP,0.0,0.4,4,1,3,4|outer_1|inner_3,57,0.6938271604938272
Di-MMLP,0.0,0.4,4,1,4,4|outer_1|inner_4,57,0.674074074074074
Di-MMLP,0.0,0.4,4,1,5,4|outer_1|inner_5,57,0.5185185185185185
Di-MMLP,0.0,0.4,4,2,1,4|outer_2|inner_1,56,0.5121328224776501
Di-MMLP,0.0,0.4,4,2,2,4|outer_2|inner_2,56,0.38314176245210735
Di-MMLP,0.0,0.4,4,2,3,4|outer_2|inner_3,56,0.35504469987228615
Di-MMLP,0.0,0.4,4,2,4,4|outer_2|inner_4,56,0.51213282247765
Di-MMLP,0.0,0.4,4,2,5,4|outer_2|inner_5,56,0.6641123882503193
Di-MMLP,0.0,0.4,4,3,1,4|outer_3|inner_1,56,0.6104725415070242
Di-MMLP,0.0,0.4,4,3,2,4|outer_3|inner_2,56,0.6296296296296297
Di-MMLP,0.0,0.4,4,3,3,4|outer_3|inner_3,56,0.5798212005108557
Di-MMLP,0.0,0.4,4,3,4,4|outer_3|inner_4,56,0.59514687100894
Di-MMLP,0.0,0.4,4,3,5,4|outer_3|inner_5,56,0.6028097062579821
Di-MMLP,0.0,0.4,4,4,1,4|outer_4|inner_1,56,0.5734355044699873
Di-MMLP,0.0,0.4,4,4,2,4|outer_4|inner_2,56,0.602809706257982
Di-MMLP,0.0,0.4,4,4,3,4|outer_4|inner_3,56,0.4955300127713921
Di-MMLP,0.0,0.4,4,4,4,4|outer_4|inner_4,56,0.5197956577266922
Di-MMLP,0.0,0.4,4,4,5,4|outer_4|inner_5,56,0.5415070242656449
Di-MMLP,0.0,0.4,4,5,1,4|outer_5|inner_1,56,0.5615384615384615
Di-MMLP,0.0,0.4,4,5,2,4|outer_5|inner_2,56,0.45512820512820507
Di-MMLP,0.0,0.4,4,5,3,4|outer_5|inner_3,56,0.6115384615384616
Di-MMLP,0.0,0.4,4,5,4,4|outer_5|inner_4,56,0.6525641025641025
