model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,baseline_auc,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
Di-PAM,test,0.0,0.8,0.8,0.5346568687166389,0.06681144308572085,125,0.011599319514032147,0.5228215184857713,0.5460201575138356,0.5943252578838785,1.1116012767412198,0.024650859930774205,1.0869504168104456,1.136252136671994,False
HealNet,test,0.0,0.0,0.0,0.6164549104365197,0.06444481674830674,125,0.01073618119003178,0.6058045937714903,0.6272769561515539,0.6164549104365197,1.0,0.01772469740763616,0.9822753025923638,1.0177246974076362,False
HealNet,test,0.0,0.2,0.2,0.6118588204473262,0.06426992950204719,125,0.011335249697088767,0.6006727219438714,0.623343221338049,0.6164549104365197,1.007511683799595,0.019017399257676315,0.9884942845419187,1.0265290830572713,False
HealNet,test,0.0,0.4,0.4,0.5885907587516784,0.06412352472707257,125,0.011600549169859586,0.5770896358515898,0.600290734191309,0.6164549104365197,1.0473404505091743,0.021057072012574007,1.0262833784966003,1.0683975225217484,False
HealNet,test,0.0,0.6,0.6,0.5682257851131415,0.06842514580368744,125,0.011928950453548082,0.5564248030258376,0.5802827039329338,0.6164549104365197,1.0848766926579636,0.02326355195395835,1.0616131407040053,1.108140244611922,False
HealNet,test,0.0,0.8,0.8,0.5441110390673608,0.0719532609656178,125,0.012217604709041485,0.5317714143498052,0.5562066237678882,0.6164549104365197,1.132957918834289,0.026024070067709903,1.1069338487665792,1.158981988901999,False
KNN_MLP,test,0.0,0.0,0.0,0.6116368864001049,0.07187507327913648,125,0.012779199659429419,0.5989543727281661,0.6245127720470249,0.6116368864001049,1.0,0.02133929302799986,0.9786607069720001,1.0213392930279999,False
KNN_MLP,test,0.0,0.2,0.2,0.6056115662966238,0.07160696185894405,125,0.012619567082555627,0.5928372901725776,0.6180764243376888,0.6116368864001049,1.0099491496510322,0.02149290557188488,0.9884562440791473,1.031442055222917,False
KNN_MLP,test,0.0,0.4,0.4,0.5893188852867014,0.06803290657165324,125,0.011477702786783117,0.5778518010937553,0.6008072066673216,0.6116368864001049,1.0378708398298586,0.020615306404952793,1.0172555334249058,1.0584861462348114,False
KNN_MLP,test,0.0,0.6,0.6,0.5861445590595017,0.06428379356679972,125,0.01119897665127545,0.57538606870354,0.5977840220060909,0.6116368864001049,1.0434915362543107,0.020325466805688253,1.0231660694486224,1.063817003059999,False
KNN_MLP,test,0.0,0.8,0.8,0.566433991551233,0.0749692262406855,125,0.01278874791236867,0.5535081681239151,0.5790856639486525,0.6116368864001049,1.079802581630173,0.024942547904557966,1.054860033725615,1.104745129534731,False
SMILe,test,0.0,0.0,0.0,0.6232616432524479,0.06446447608569117,125,0.011384428562072335,0.6116837963781642,0.6344526535023088,0.6232616432524479,1.0,0.01860574031643436,0.9813942596835656,1.0186057403164344,False
SMILe,test,0.0,0.2,0.2,0.6152820774797786,0.06501545578250417,125,0.011800904312800897,0.6032880610407048,0.6268898696663066,0.6232616432524479,1.0129689553210357,0.01980832252122955,0.9931606327998062,1.0327772778422653,False
SMILe,test,0.0,0.4,0.4,0.5900927923502637,0.06762333864297129,125,0.011965589121393616,0.5787413612994075,0.6026725395421947,0.6232616432524479,1.0562095509929497,0.021860534226185058,1.0343490167667646,1.0780700852191347,False
SMILe,test,0.0,0.6,0.6,0.5697033238366573,0.06342234788495787,125,0.011277231063955118,0.5583569309362414,0.5809113930641516,0.6232616432524479,1.0940108951008096,0.022093189788604528,1.071917705312205,1.1161040848894141,False
SMILe,test,0.0,0.8,0.8,0.5432725284081605,0.07204883395518673,125,0.01252925058126203,0.5308560267871762,0.5559145279497003,0.6232616432524479,1.1472357070560204,0.02708278041378076,1.1201529266422396,1.1743184874698012,False
VAE_MLP,test,0.0,0.0,0.0,0.5955732914169697,0.07698846066739513,125,0.013369624553819959,0.5818691285980941,0.6086083777057341,0.5955732914169697,1.0,0.022963827462396447,0.9770361725376036,1.0229638274623964,False
VAE_MLP,test,0.0,0.2,0.2,0.5941343943412909,0.07228676260031217,125,0.012224110423420698,0.5819574539083736,0.606405674755215,0.5955732914169697,1.0024218377010037,0.02105773960962476,0.9813640980913789,1.0234795773106284,False
VAE_MLP,test,0.0,0.4,0.4,0.5756597177194878,0.07803793781372118,125,0.013574188689131184,0.5622638752988179,0.5894122526770803,0.5955732914169697,1.03459261276153,0.024985086106438237,1.0096075266550917,1.0595776988679682,False
VAE_MLP,test,0.0,0.6,0.6,0.5607798801453973,0.07684330128070334,125,0.013712853096243871,0.5467545200903822,0.5741802262828699,0.5955732914169697,1.0620446854522514,0.026621349913572567,1.0354233355386788,1.088666035365824,False
VAE_MLP,test,0.0,0.8,0.8,0.5415695582408228,0.07887880824725235,125,0.01355050610734515,0.5277439195074827,0.554844931722173,0.5955732914169697,1.0997170766975288,0.028221941810491202,1.0714951348870376,1.12793901850802,False
ZI_MLP,test,0.0,0.0,0.0,0.6116368864001049,0.07187507327913648,125,0.01279710842584414,0.5995050276713495,0.6250992445230378,0.6116368864001049,1.0,0.02136983696896988,0.9786301630310301,1.0213698369689699,False
ZI_MLP,test,0.0,0.2,0.2,0.6016931722173102,0.07345372438484066,125,0.012790435046009907,0.5889938320725675,0.6145747021645873,0.6116368864001049,1.0165262207416297,0.022078030510460867,0.9944481902311688,1.0386042512520905,False
ZI_MLP,test,0.0,0.4,0.4,0.5787096440383798,0.07434175905842616,125,0.013025882863411609,0.5652992782526116,0.5913510439794348,0.6116368864001049,1.0568976907520509,0.024336964331009625,1.0325607264210412,1.0812346550830605,False
ZI_MLP,test,0.0,0.6,0.6,0.5552789861479518,0.06771543354727816,125,0.011490940170940045,0.5433265805416381,0.5663084608835182,0.6116368864001049,1.101494747069605,0.023275999409734682,1.0782187476598704,1.1247707464793397,False
ZI_MLP,test,0.0,0.8,0.8,0.5252853390968333,0.07344339442954811,125,0.012307757802010655,0.5129877879293971,0.5376033035334185,0.6116368864001049,1.1643897913689025,0.02793694707501415,1.1364528442938884,1.1923267384439167,False
pAM,test,0.0,0.0,0.0,0.595544015456659,0.07561315241776803,125,0.013175917575400264,0.582170982087304,0.6085228172381045,0.595544015456659,1.0,0.022624724162151333,0.9773752758378487,1.0226247241621513,False
pAM,test,0.0,0.2,0.2,0.5886722598814552,0.07395015130944135,125,0.012936899826440085,0.5760663955201887,0.6019401951730688,0.595544015456659,1.011673313052984,0.022732521252122773,0.9889407918008613,1.0344058343051068,False
pAM,test,0.0,0.4,0.4,0.5789248190719455,0.07508739929497263,125,0.013025593214788633,0.5654544765366603,0.5915056629662375,0.595544015456659,1.0287070027699887,0.023678277585536867,1.0050287251844519,1.0523852803555256,False
pAM,test,0.0,0.6,0.6,0.5580536660444707,0.06924924020972001,125,0.01239512656777031,0.545395598454334,0.5701858515898747,0.595544015456659,1.0671805449786271,0.024241969965975496,1.0429385750126516,1.0914225149446026,False
pAM,test,0.0,0.8,0.8,0.5397030356616563,0.07442610811296893,125,0.012666620656908045,0.5276347719160362,0.5529680132298523,0.595544015456659,1.1034661213764412,0.02652034350814092,1.0769457778683003,1.129986464884582,False
Di-MMLP,train,0.0,0.0,0.0,0.5913350492844748,0.07990812356966961,125,0.013933962078789663,0.57769394570521,0.6055618698627894,0.5913350492844748,,,,,True
Di-MMLP,train,0.2,0.0,0.2,0.6144588793922128,0.06660772494129012,125,0.011935656580541687,0.6029123577954612,0.6267836709565445,0.5913350492844748,,,,,True
Di-MMLP,train,0.4,0.0,0.4,0.5830788224121558,0.07755027139315356,125,0.014062392998657303,0.5689903038936374,0.597115089890952,0.5913350492844748,,,,,True
Di-MMLP,train,0.6,0.0,0.6,0.5644547139535646,0.07822270418047922,125,0.01399689082097122,0.550378243769853,0.5783720254117954,0.5913350492844748,,,,,True
